import time: self [us] | cumulative | imported package
import time:    375625 |     375625 |                                       pandas.core.indexes.timedeltas
import time:    447737 |    1223424 |                                     pandas.core.indexes.interval
import time:    367745 |     367745 |                                     pandas.core.indexes.period
import time:    347686 |    9390122 |                                   pandas.core.indexes.api
import time:    381874 |   10132528 |                                 pandas.core.indexing
import time:    374946 |     374946 |                                 pandas.core.sample
import time:    376533 |     376533 |                                 pandas.core.array_algos.replace
import time:    416651 |     416651 |                                     pandas.core.internals.blocks
import time:    389230 |     805881 |                                   pandas.core.internals.api
import time:    354828 |     354828 |                                     pandas.core.internals.base
import time:    340251 |     340251 |                                       pandas.core.internals.ops
import time:    425182 |     765433 |                                     pandas.core.internals.managers
import time:    357323 |    1477583 |                                   pandas.core.internals.array_manager
import time:    437877 |     437877 |                                   pandas.core.internals.concat
import time:    444766 |    3166106 |                                 pandas.core.internals
import time:    342233 |     342233 |                                 pandas.core.internals.construction
import time:    378789 |     378789 |                                   pandas.core.methods
import time:    349948 |     349948 |                                     pandas.core.reshape
import time:    373828 |     723776 |                                   pandas.core.reshape.concat
import time:      1789 |       1789 |                                       gzip
import time:       106 |        106 |                                         pwd
import time:      4692 |       4692 |                                         grp
import time:      2942 |       7738 |                                       tarfile
import time:       845 |        845 |                                           zipfile._path.glob
import time:      4197 |       5042 |                                         zipfile._path
import time:      2345 |       7387 |                                       zipfile
import time:    442996 |     442996 |                                       pandas.core.shared_docs
import time:    466598 |     926506 |                                     pandas.io.common
import time:    349218 |    1275724 |                                   pandas.io.formats.format
import time:    414279 |    2792566 |                                 pandas.core.methods.describe
import time:    370265 |     370265 |                                       pandas._libs.window
import time:    584237 |     954501 |                                     pandas._libs.window.aggregations
import time:    466560 |     466560 |                                       pandas._libs.window.indexers
import time:    410938 |     877497 |                                     pandas.core.indexers.objects
import time:    388889 |     388889 |                                     pandas.core.util.numba_
import time:    375397 |     375397 |                                     pandas.core.window.common
import time:    347678 |     347678 |                                     pandas.core.window.doc
import time:    368225 |     368225 |                                     pandas.core.window.numba_
import time:    379208 |     379208 |                                     pandas.core.window.online
import time:    384607 |     384607 |                                     pandas.core.window.rolling
import time:    349684 |    4425682 |                                   pandas.core.window.ewm
import time:    360560 |     360560 |                                   pandas.core.window.expanding
import time:    368307 |    5154548 |                                 pandas.core.window
import time:    498659 |   22838114 |                               pandas.core.generic
import time:    346829 |     346829 |                               pandas.core.methods.selectn
import time:    352506 |     352506 |                                 pandas.core.reshape.util
import time:    347082 |     347082 |                                 pandas.core.tools.numeric
import time:    511876 |    1211464 |                               pandas.core.reshape.melt
import time:    513380 |     513380 |                                 pandas._libs.reshape
import time:    409243 |     409243 |                                 pandas.core.indexes.accessors
import time:    356236 |     356236 |                                   pandas.arrays
import time:    347062 |     703297 |                                 pandas.core.tools.datetimes
import time:    351729 |     351729 |                                 pandas.io.formats.info
import time:    378347 |     378347 |                                   pandas.plotting._core
import time:    458924 |     458924 |                                   pandas.plotting._misc
import time:    360002 |    1197271 |                                 pandas.plotting
import time:    408637 |    3583555 |                               pandas.core.series
import time:    491357 |   28471316 |                             pandas.core.frame
import time:    364346 |     364346 |                             pandas.core.groupby.base
import time:       183 |        183 |                                 backports_abc
import time:   1843834 |    1844016 |                               pandas._libs.groupby
import time:    331495 |     331495 |                                 pandas.core.groupby.categorical
import time:    369507 |     701002 |                               pandas.core.groupby.grouper
import time:    393451 |    2938468 |                             pandas.core.groupby.ops
import time:    331130 |     331130 |                               pandas.core.groupby.numba_
import time:    390389 |     390389 |                               pandas.core.groupby.indexing
import time:    454555 |    1176072 |                             pandas.core.groupby.groupby
import time:    410128 |   35028248 |                           pandas.core.groupby.generic
import time:    345445 |   35373692 |                         pandas.core.groupby
import time:    392598 |   95424431 |                       pandas.core.api
import time:    344299 |     344299 |                       pandas.tseries.api
import time:    360883 |     360883 |                               pandas.core.computation.common
import time:    339953 |     700836 |                             pandas.core.computation.align
import time:    348660 |     348660 |                               pandas.core.computation.scope
import time:    391053 |     739712 |                             pandas.core.computation.ops
import time:    469062 |    1909610 |                           pandas.core.computation.engines
import time:    342940 |     342940 |                             pandas.core.computation.parsing
import time:    359454 |     702393 |                           pandas.core.computation.expr
import time:    348658 |    2960660 |                         pandas.core.computation.eval
import time:    362814 |    3323474 |                       pandas.core.computation.api
import time:    405779 |     405779 |                         pandas.core.reshape.encoding
import time:    403322 |     403322 |                         pandas.core.reshape.merge
import time:    343892 |     343892 |                         pandas.core.reshape.pivot
import time:    368490 |     368490 |                         pandas.core.reshape.tile
import time:    338552 |    1860034 |                       pandas.core.reshape.api
import time:    356231 |     356231 |                         pandas.api.extensions
import time:    361089 |     361089 |                         pandas.api.indexers
import time:    539175 |     539175 |                             pandas.core.interchange
import time:    403491 |     942666 |                           pandas.core.interchange.dataframe_protocol
import time:    434313 |     434313 |                             pandas.core.interchange.utils
import time:    437295 |     871608 |                           pandas.core.interchange.from_dataframe
import time:    366975 |    2181248 |                         pandas.api.interchange
import time:    405148 |     405148 |                           pandas.core.dtypes.api
import time:    414253 |     819400 |                         pandas.api.types
import time:    633664 |     633664 |                           pandas.core.resample
import time:    421985 |     421985 |                                 pandas._libs.json
import time:    509562 |     509562 |                                 pandas.io.json._normalize
import time:    421845 |     421845 |                                 pandas.io.json._table_schema
import time:      1215 |       1215 |                                         backports_abc
import time:   1129252 |    1130467 |                                       pandas._libs.parsers
import time:   1366736 |    1366736 |                                         pandas.io.parsers.base_parser
import time:    513362 |    1880098 |                                       pandas.io.parsers.arrow_parser_wrapper
import time:   1672636 |    1672636 |                                       pandas.io.parsers.c_parser_wrapper
import time:    897642 |     897642 |                                       pandas.io.parsers.python_parser
import time:    507211 |    6088052 |                                     pandas.io.parsers.readers
import time:    473630 |    6561681 |                                   pandas.io.parsers
import time:       339 |    6562020 |                                 pandas.io.parsers.readers
import time:    611542 |    8526952 |                               pandas.io.json._json
import time:    621347 |    9148299 |                             pandas.io.json
import time:       213 |    9148511 |                           pandas.io.json._json
import time:    614890 |     614890 |                           pandas.io.stata
import time:    438160 |   10835224 |                         pandas.api.typing
import time:    351793 |   14904983 |                       pandas.api
import time:    469732 |     469732 |                             pandas._testing.contexts
import time:    630077 |    1099808 |                           pandas._testing._io
import time:    576220 |     576220 |                           pandas._testing._warnings
import time:      4936 |       4936 |                               cmath
import time:    718624 |     723559 |                             pandas._libs.testing
import time:    609893 |    1333452 |                           pandas._testing.asserters
import time:    427176 |     427176 |                           pandas._testing.compat
import time:    585375 |    4022029 |                         pandas._testing
import time:    465121 |    4487150 |                       pandas.testing
import time:    449494 |     449494 |                       pandas.util._print_versions
import time:    444311 |     444311 |                         pandas.io.clipboards
import time:    402985 |     402985 |                             pandas.io.excel._util
import time:    430497 |     430497 |                             pandas.io.excel._calamine
import time:    510580 |     510580 |                             pandas.io.excel._odfreader
import time:    508016 |     508016 |                             pandas.io.excel._openpyxl
import time:    437645 |     437645 |                             pandas.io.excel._pyxlsb
import time:    502011 |     502011 |                             pandas.io.excel._xlrd
import time:   1545334 |    4337065 |                           pandas.io.excel._base
import time:    404524 |     404524 |                           pandas.io.excel._odswriter
import time:    379238 |     379238 |                           pandas.io.excel._xlsxwriter
import time:    411381 |    5532206 |                         pandas.io.excel
import time:    477872 |     477872 |                         pandas.io.feather_format
import time:    449994 |     449994 |                         pandas.io.gbq
import time:    607819 |     607819 |                         pandas.io.html
import time:    510451 |     510451 |                         pandas.io.orc
import time:    641550 |     641550 |                         pandas.io.parquet
import time:    929208 |     929208 |                           pandas.compat.pickle_compat
import time:    705908 |    1635116 |                         pandas.io.pickle
import time:    597765 |     597765 |                           pandas.core.computation.pytables
import time:    628059 |    1225824 |                         pandas.io.pytables
import time:    449054 |     449054 |                           pandas.io.sas.sasreader
import time:    527036 |     976090 |                         pandas.io.sas
import time:    570124 |     570124 |                         pandas.io.spss
import time:    456174 |     456174 |                         pandas.io.sql
import time:    438264 |     438264 |                         pandas.io.xml
import time:    498847 |   14464635 |                       pandas.io.api
import time:    441250 |     441250 |                       pandas.util._tester
import time:    434912 |     434912 |                       pandas._version_meson
import time:    465312 |  145748093 |                     pandas
import time:    525135 |     525135 |                         sklearn.externals
import time:    517638 |    1042772 |                       sklearn.externals._packaging
import time:    384239 |     384239 |                       sklearn.externals._packaging._structures
import time:    458566 |    1885576 |                     sklearn.externals._packaging.version
import time:      1276 |       1276 |                             ctypes.macholib
import time:      1942 |       1942 |                             ctypes.macholib.framework
import time:      1193 |       1193 |                             ctypes.macholib.dylib
import time:      5826 |      10235 |                           ctypes.macholib.dyld
import time:      2167 |      12402 |                         ctypes.util
import time:    603088 |     615489 |                       threadpoolctl
import time:    900214 |    1515703 |                     sklearn.utils.parallel
import time:    860887 |  286261874 |                   sklearn.utils.fixes
import time:    493992 |  300778812 |                 sklearn.utils._array_api
import time:    688971 |     688971 |                 sklearn.utils.deprecation
import time:   1904433 |    1904433 |                 sklearn.utils._isfinite
import time:    723198 |     723198 |                 sklearn.utils._tags
import time:    475967 |  304571379 |               sklearn.utils.validation
import time:    494230 |  388372034 |             sklearn.utils._param_validation
import time:    397202 |  388769235 |           sklearn.utils._chunking
import time:      4869 |       4869 |               html.entities
import time:      2594 |       7462 |             html
import time:   1300031 |    1307492 |           sklearn.utils._estimator_html_repr
import time:    876265 |     876265 |               sklearn.utils.sparsefuncs_fast
import time:    476367 |    1352632 |             sklearn.utils.extmath
import time:    927592 |    2280223 |           sklearn.utils._indexing
import time:   1150699 |    1150699 |             sklearn.utils._missing
import time:    535696 |    1686394 |           sklearn.utils._mask
import time:    574159 |     574159 |           sklearn.utils.class_weight
import time:    622897 |     622897 |           sklearn.utils.discovery
import time:    594032 |     594032 |           sklearn.utils.murmurhash
import time:    522756 |  417462798 |         sklearn.utils
import time:       246 |  417463043 |       sklearn.utils._estimator_html_repr
import time:    891624 |     891624 |         sklearn.utils._available_if
import time:    410658 |    1302281 |       sklearn.utils._set_output
import time:    814041 |  533249284 |     sklearn.base
import time:    969243 |     969243 |       sklearn.utils._openmp_helpers
import time:    602795 |    1572037 |     sklearn.utils._show_versions
import time:   1082900 |    1082900 |     sklearn._built_with_meson
import time:    597895 |  539422639 |   sklearn
import time:    387362 |     387362 |     sklearn.utils.sparsefuncs
import time:    535176 |     535176 |       sklearn.utils._encode
import time:    398094 |     933270 |     sklearn.preprocessing._encoders
import time:    487189 |    1807819 |   sklearn.preprocessing._data
import time:    359353 |     359353 |     sklearn.utils.stats
import time:    475968 |     835320 |   sklearn.preprocessing._discretization
import time:    329273 |     329273 |     sklearn.utils.metaestimators
import time:    439537 |     768810 |   sklearn.preprocessing._function_transformer
import time:    493879 |     493879 |       sklearn.utils._unique
import time:    338045 |     831924 |     sklearn.utils.multiclass
import time:    472301 |    1304224 |   sklearn.preprocessing._label
import time:    576552 |     576552 |     sklearn.preprocessing._csr_polynomial_expansion
import time:    361913 |     938464 |   sklearn.preprocessing._polynomial
import time:    610417 |     610417 |     sklearn.preprocessing._target_encoder_fast
import time:    377298 |     987714 |   sklearn.preprocessing._target_encoder
import time:    570224 |  546635213 | sklearn.preprocessing
import time:    490853 |     490853 | pandas.io.formats.csvs
