import time: self [us] | cumulative | imported package
import time:      1060 |       1060 |                     asyncio.base_subprocess
import time:      1437 |       1437 |                     asyncio.selector_events
import time:      2184 |       4680 |                   asyncio.unix_events
import time:      1494 |      93213 |                 asyncio
import time:      1709 |       1709 |                     importlib._abc
import time:       720 |       2428 |                   importlib.util
import time:      1407 |       1407 |                   pkgutil
import time:      1848 |       1848 |                   sysconfig
import time:      1376 |       1376 |                   _sysconfigdata__darwin_darwin
import time:      1098 |       1098 |                   _osx_support
import time:      4555 |      12709 |                 pydoc
import time:      6445 |       6445 |                     _decimal
import time:      1529 |       7973 |                   decimal
import time:    499608 |     507581 |                 joblib.hashing
import time:      2917 |       2917 |                         _json
import time:      1187 |       4103 |                       json.scanner
import time:      2084 |       6187 |                     json.decoder
import time:      2703 |       2703 |                     json.encoder
import time:      1322 |      10211 |                   json
import time:      2396 |       2396 |                     zlib
import time:      1275 |       1275 |                       _compression
import time:      2984 |       2984 |                       _bz2
import time:      1729 |       5987 |                     bz2
import time:      3709 |       3709 |                       _lzma
import time:      1361 |       5069 |                     lzma
import time:      5191 |      18642 |                   shutil
import time:      2343 |       2343 |                         multiprocessing.process
import time:      1343 |       1343 |                         multiprocessing.reduction
import time:      2417 |       6101 |                       multiprocessing.context
import time:      1175 |       7276 |                     multiprocessing
import time:      1273 |       1273 |                     multiprocessing.util
import time:    456460 |     465008 |                   joblib.backports
import time:    433029 |     433029 |                   joblib.disk
import time:      2184 |       2184 |                       dataclasses
import time:      2840 |       5024 |                     pprint
import time:    440932 |     445955 |                   joblib.logger
import time:       193 |        193 |                       lz4
import time:    433653 |     433845 |                     joblib.compressor
import time:    425178 |     425178 |                     joblib.numpy_pickle_utils
import time:    421253 |     421253 |                     joblib.numpy_pickle_compat
import time:    481579 |    1761854 |                   joblib.numpy_pickle
import time:    464317 |    3599012 |                 joblib._store_backends
import time:    546156 |     546156 |                 joblib.func_inspect
import time:    513671 |    5272339 |               joblib.memory
import time:      2371 |       2371 |                   _uuid
import time:      2107 |       4478 |                 uuid
import time:      2890 |       2890 |                   _queue
import time:      1136 |       4026 |                 queue
import time:      3685 |       3685 |                   _multiprocessing
import time:      1924 |       1924 |                   tempfile
import time:    647235 |     652844 |                 joblib._multiprocessing_helpers
import time:       321 |        321 |                   gc
import time:    461646 |     461646 |                         joblib.externals
import time:    484355 |     484355 |                         joblib.externals.loky._base
import time:      1169 |       1169 |                             multiprocessing.synchronize
import time:    457998 |     457998 |                               joblib.externals.loky.backend.process
import time:       169 |        169 |                                   _winapi
import time:      1556 |       1725 |                                 multiprocessing.connection
import time:       763 |        763 |                                 multiprocessing.queues
import time:      1340 |       3827 |                               concurrent.futures.process
import time:    575373 |    1037197 |                             joblib.externals.loky.backend.context
import time:    528747 |    1567112 |                           joblib.externals.loky.backend
import time:        88 |    1567199 |                         joblib.externals.loky.backend.context
import time:    438603 |     438603 |                           joblib.externals.loky.backend._posix_reduction
import time:    616837 |     616837 |                             joblib.externals.cloudpickle.cloudpickle
import time:    449320 |    1066157 |                           joblib.externals.cloudpickle
import time:    720527 |    2225287 |                         joblib.externals.loky.backend.reduction
import time:    449984 |     449984 |                             joblib.externals.loky.backend.queues
import time:       200 |        200 |                               psutil
import time:    433318 |     433517 |                             joblib.externals.loky.backend.utils
import time:    418591 |     418591 |                             joblib.externals.loky.initializers
import time:       176 |        176 |                             psutil
import time:    463714 |    1765981 |                           joblib.externals.loky.process_executor
import time:    407490 |    2173470 |                         joblib.externals.loky.reusable_executor
import time:    399697 |     399697 |                         joblib.externals.loky.cloudpickle_wrapper
import time:    863576 |    8175227 |                       joblib.externals.loky
import time:       127 |    8175353 |                     joblib.externals.loky.process_executor
import time:    471413 |    8646766 |                   joblib._utils
import time:      3681 |       3681 |                       mmap
import time:       686 |        686 |                           runpy
import time:    484396 |     485082 |                         joblib.externals.loky.backend.spawn
import time:    440027 |     925108 |                       joblib.externals.loky.backend.resource_tracker
import time:    478195 |    1406983 |                     joblib._memmapping_reducer
import time:      1409 |       1409 |                     multiprocessing.pool
import time:    492236 |    1900627 |                   joblib.pool
import time:    483931 |     483931 |                   joblib.executor
import time:    493460 |   11525103 |                 joblib._parallel_backends
import time:    537126 |   12723574 |               joblib.parallel
import time:    479369 |     479369 |               joblib._cloudpickle_wrapper
import time:    486771 |   18962052 |             joblib
import time:    441621 |   19403672 |           sklearn.utils._joblib
import time:    446012 |     446012 |               sklearn.utils._bunch
import time:    753730 |    1199742 |             sklearn.utils._metadata_requests
import time:    502200 |    1701941 |           sklearn.utils.metadata_routing
import time:    534813 |     534813 |                   scipy.__config__
import time:    392342 |     392342 |                   scipy.version
import time:       150 |        150 |                     scipy._distributor_init_local
import time:    464017 |     464166 |                   scipy._distributor_init
import time:       188 |        188 |                       cython
import time:    576009 |     576196 |                     scipy._lib._testutils
import time:    464623 |    1040819 |                   scipy._lib
import time:    425280 |     425280 |                   scipy._lib._pep440
import time:    566459 |     566459 |                     scipy._lib._ccallback_c
import time:    722547 |    1289006 |                   scipy._lib._ccallback
import time:    593878 |    4740301 |                 scipy
import time:    413971 |     413971 |                           numpy._typing._add_docstring
import time:    385577 |     799547 |                         numpy.typing
import time:    636940 |     636940 |                             scipy._lib.array_api_compat.common._helpers
import time:    518074 |    1155014 |                           scipy._lib.array_api_compat.common
import time:    468879 |    1623893 |                         scipy._lib.array_api_compat
import time:    412214 |     412214 |                             scipy._lib.array_api_compat.common._aliases
import time:    424934 |     424934 |                             scipy._lib.array_api_compat._internal
import time:    461778 |     461778 |                             scipy._lib.array_api_compat.numpy._info
import time:    441050 |    1739974 |                           scipy._lib.array_api_compat.numpy._aliases
import time:    393200 |     393200 |                             scipy._lib.array_api_compat.common._linalg
import time:    406262 |     799462 |                           scipy._lib.array_api_compat.numpy.linalg
import time:    495469 |     495469 |                             scipy._lib.array_api_compat.common._fft
import time:    427727 |     923195 |                           scipy._lib.array_api_compat.numpy.fft
import time:    620332 |    4082961 |                         scipy._lib.array_api_compat.numpy
import time:    426942 |    6933341 |                       scipy._lib._array_api
import time:    406154 |     406154 |                       scipy._lib._docscrape
import time:    440140 |    7779635 |                     scipy._lib._util
import time:    470085 |    8249719 |                   scipy.sparse._sputils
import time:    518501 |     518501 |                   scipy.sparse._matrix
import time:    490147 |    9258366 |                 scipy.sparse._base
import time:    436165 |     436165 |                       numpy._core
import time:    382871 |     819036 |                     numpy._core._multiarray_umath
import time:   1207119 |    2026154 |                   scipy.sparse._sparsetools
import time:    404071 |     404071 |                     scipy.sparse._data
import time:    456505 |     456505 |                     scipy.sparse._index
import time:    393369 |    1253944 |                   scipy.sparse._compressed
import time:    512637 |    3792734 |                 scipy.sparse._csr
import time:    534104 |     534104 |                 scipy.sparse._csc
import time:    554954 |     554954 |                   scipy.sparse._csparsetools
import time:    410477 |     965430 |                 scipy.sparse._lil
import time:    399106 |     399106 |                 scipy.sparse._dok
import time:    449655 |     449655 |                 scipy.sparse._coo
import time:    452174 |     452174 |                 scipy.sparse._dia
import time:    392870 |     392870 |                 scipy.sparse._bsr
import time:    491151 |     491151 |                 scipy.sparse._construct
import time:    459259 |     459259 |                 scipy.sparse._extract
import time:    433469 |     433469 |                 scipy.sparse._matrix_io
import time:    492494 |     492494 |                           scipy.sparse.linalg._interface
import time:    384372 |     384372 |                           scipy.sparse.linalg._isolve.utils
import time:    565577 |     565577 |                                 scipy.linalg._fblas
import time:        99 |         99 |                                 scipy.linalg._cblas
import time:        61 |         61 |                                 scipy.linalg._fblas_64
import time:    483635 |    1049372 |                               scipy.linalg.blas
import time:    792829 |     792829 |                                 scipy.linalg._flapack
import time:       152 |        152 |                                 scipy.linalg._clapack
import time:        81 |         81 |                                 scipy.linalg._flapack_64
import time:    415271 |    1208331 |                               scipy.linalg.lapack
import time:    548156 |    2805858 |                             scipy.linalg._misc
import time:    571007 |     571007 |                               scipy.linalg.cython_lapack
import time:    641646 |    1212653 |                             scipy.linalg._cythonized_array_utils
import time:    394783 |     394783 |                               scipy.linalg._decomp
import time:    417825 |     417825 |                               scipy.linalg._decomp_svd
import time:    519695 |     519695 |                               scipy.linalg._solve_toeplitz
import time:    524396 |    1856698 |                             scipy.linalg._basic
import time:    533875 |     533875 |                               scipy.linalg._decomp_lu_cython
import time:    470597 |    1004471 |                             scipy.linalg._decomp_lu
import time:    506108 |     506108 |                             scipy.linalg._decomp_ldl
import time:    409578 |     409578 |                             scipy.linalg._decomp_cholesky
import time:    387483 |     387483 |                             scipy.linalg._decomp_qr
import time:    387749 |     387749 |                             scipy.linalg._decomp_qz
import time:    376970 |     376970 |                             scipy.linalg._decomp_schur
import time:    376907 |     376907 |                             scipy.linalg._decomp_polar
import time:    419238 |     419238 |                               scipy.linalg._expm_frechet
import time:    520397 |     520397 |                                 scipy.linalg._matfuncs_sqrtm_triu
import time:    467943 |     988339 |                               scipy.linalg._matfuncs_sqrtm
import time:    599088 |     599088 |                               scipy.linalg._matfuncs_expm
import time:    433722 |     433722 |                               scipy.linalg._linalg_pythran
import time:    404258 |    2844644 |                             scipy.linalg._matfuncs
import time:    421375 |     421375 |                             scipy.linalg._special_matrices
import time:    568175 |     568175 |                             scipy.linalg._solvers
import time:    479501 |     479501 |                             scipy.linalg._procrustes
import time:    587390 |     587390 |                               scipy.linalg.cython_blas
import time:    952136 |    1539526 |                             scipy.linalg._decomp_update
import time:    448773 |     448773 |                             scipy.linalg._sketches
import time:    420436 |     420436 |                             scipy.linalg._decomp_cossin
import time:    435388 |     435388 |                               scipy._lib.deprecation
import time:    422687 |     858075 |                             scipy.linalg.decomp
import time:    384731 |     384731 |                             scipy.linalg.decomp_cholesky
import time:    645779 |     645779 |                             scipy.linalg.decomp_lu
import time:    432656 |     432656 |                             scipy.linalg.decomp_qr
import time:    396281 |     396281 |                             scipy.linalg.decomp_svd
import time:    665153 |     665153 |                             scipy.linalg.decomp_schur
import time:    447130 |     447130 |                             scipy.linalg.basic
import time:    422806 |     422806 |                             scipy.linalg.misc
import time:    399995 |     399995 |                             scipy.linalg.special_matrices
import time:    379004 |     379004 |                             scipy.linalg.matfuncs
import time:    454828 |   21533331 |                           scipy.linalg
import time:    493689 |   22903884 |                         scipy.sparse.linalg._isolve.iterative
import time:    529774 |     529774 |                         scipy.sparse.linalg._isolve.minres
import time:    481462 |     481462 |                           scipy.sparse.linalg._isolve._gcrotmk
import time:    496581 |     978042 |                         scipy.sparse.linalg._isolve.lgmres
import time:    530681 |     530681 |                         scipy.sparse.linalg._isolve.lsqr
import time:    456756 |     456756 |                         scipy.sparse.linalg._isolve.lsmr
import time:    454919 |     454919 |                         scipy.sparse.linalg._isolve.tfqmr
import time:    666841 |   26520895 |                       scipy.sparse.linalg._isolve
import time:    860919 |     860919 |                           scipy.sparse.linalg._dsolve._superlu
import time:       332 |        332 |                             scikits
import time:        97 |        428 |                           scikits.umfpack
import time:   2301659 |    3163005 |                         scipy.sparse.linalg._dsolve.linsolve
import time:    406303 |     406303 |                         scipy.sparse.linalg._dsolve._add_newdocs
import time:    717589 |    4286896 |                       scipy.sparse.linalg._dsolve
import time:    713168 |     713168 |                               scipy._lib.decorator
import time:    786667 |    1499835 |                             scipy._lib._threadsafety
import time:   3842747 |    3842747 |                             scipy.sparse.linalg._eigen.arpack._arpack
import time:    874029 |    6216610 |                           scipy.sparse.linalg._eigen.arpack.arpack
import time:   1276741 |    7493350 |                         scipy.sparse.linalg._eigen.arpack
import time:    398043 |     398043 |                           scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:    592733 |     990775 |                         scipy.sparse.linalg._eigen.lobpcg
import time:       339 |        339 |                             scipy.sparse.linalg._propack
import time:    571731 |     571731 |                             scipy.sparse.linalg._propack._spropack
import time:    626141 |     626141 |                             scipy.sparse.linalg._propack._dpropack
import time:    490064 |     490064 |                             scipy.sparse.linalg._propack._cpropack
import time:    898207 |     898207 |                             scipy.sparse.linalg._propack._zpropack
import time:    473486 |    3059964 |                           scipy.sparse.linalg._svdp
import time:    448412 |    3508375 |                         scipy.sparse.linalg._eigen._svds
import time:    459148 |   12451646 |                       scipy.sparse.linalg._eigen
import time:    463511 |     463511 |                           scipy.sparse.linalg._onenormest
import time:    453903 |     917413 |                         scipy.sparse.linalg._expm_multiply
import time:    580362 |    1497775 |                       scipy.sparse.linalg._matfuncs
import time:    527097 |     527097 |                       scipy.sparse.linalg._norm
import time:    540893 |     540893 |                       scipy.sparse.linalg._special_sparse_arrays
import time:    437988 |     437988 |                       scipy.sparse.linalg.isolve
import time:    458827 |     458827 |                       scipy.sparse.linalg.dsolve
import time:    381992 |     381992 |                       scipy.sparse.linalg.interface
import time:    406620 |     406620 |                       scipy.sparse.linalg.eigen
import time:    403025 |     403025 |                       scipy.sparse.linalg.matfuncs
import time:    521615 |   48435262 |                     scipy.sparse.linalg
import time:    444851 |   48880113 |                   scipy.sparse.csgraph._laplacian
import time:    542191 |     542191 |                       scipy.sparse.csgraph._tools
import time:    453098 |     995288 |                     scipy.sparse.csgraph._validation
import time:    568700 |    1563987 |                   scipy.sparse.csgraph._shortest_path
import time:    643013 |     643013 |                   scipy.sparse.csgraph._traversal
import time:    606693 |     606693 |                   scipy.sparse.csgraph._min_spanning_tree
import time:    617043 |     617043 |                   scipy.sparse.csgraph._flow
import time:    609564 |     609564 |                   scipy.sparse.csgraph._matching
import time:    714591 |     714591 |                   scipy.sparse.csgraph._reordering
import time:    522672 |   54157673 |                 scipy.sparse.csgraph
import time:    576779 |     576779 |                 scipy.sparse.base
import time:    490924 |     490924 |                 scipy.sparse.bsr
import time:    436771 |     436771 |                 scipy.sparse.compressed
import time:    420967 |     420967 |                 scipy.sparse.construct
import time:    406633 |     406633 |                 scipy.sparse.coo
import time:    410004 |     410004 |                 scipy.sparse.csc
import time:    445888 |     445888 |                 scipy.sparse.csr
import time:    469383 |     469383 |                 scipy.sparse.data
import time:    410012 |     410012 |                 scipy.sparse.dia
import time:    469751 |     469751 |                 scipy.sparse.dok
import time:    414941 |     414941 |                 scipy.sparse.extract
import time:    438772 |     438772 |                 scipy.sparse.lil
import time:    469256 |     469256 |                 scipy.sparse.sparsetools
import time:    444829 |     444829 |                 scipy.sparse.sputils
import time:    475236 |   83306425 |               scipy.sparse
import time:    445115 |     445115 |                     scipy.special._sf_error
import time:    747859 |     747859 |                       scipy.special._ufuncs_cxx
import time:    671118 |     671118 |                       scipy.special._special_ufuncs
